plot,co2,treatment_fertilisation,year,c_leaf,c_wood,c_froot,fc_grow_leaf,fc_grow_wood,fc_grow_froot,fc_grow_repr,fc_npp,fc_repr_litter,fc_leaf_litter_pine,fc_leaf_litter_hardwood,fc_wood_to_litter,fc_froot_to_litter,n_leaf,n_wood,n_froot,fn_croot_to_litter,fn_wood_to_litter,fn_plantuptake,fn_leaf_to_litter,fn_leaf_to_store,ptrait_lai,ptrait_lai_peak,fw_transp 
3,ELE,AMB,1999,    530.0980,    9706.752,    72.98000,    294.9711,   1106.6601,    85.83510,   8.0375777,1518.1671,   8.0375777,    294.9184,    30.44891,    80.17994,   62.812453,       10.67,       33.86,        1.56,        0.80,        1.34,       11.16,        3.27,        3.13,3.669973,5.47,     629.140
4,ELE,AMB,1999,    473.3451,    7353.781,   139.96990,    286.9813,    944.7118,   153.59737,   2.0437362,1429.1469,   2.0437362,    248.1876,    52.56481,    74.16988,  139.375470,        9.30,       22.60,        2.58,        0.91,        2.57,       10.80,        2.94,        3.26,3.476575,5.4,     521.653
5,AMB,AMB,1999,    455.3026,    7750.754,    71.70490,    279.4786,    773.3088,    77.54066,   1.4840771,1158.5117,   1.4840771,    253.9964,    46.24933,    58.00111,   47.411609,        9.90,       25.50,        1.61,        0.69,        1.06,        9.35,        3.34,        3.71,3.447562,5.36,     546.686
6,AMB,AMB,1999,    431.4700,    7161.485,    88.80600,    271.9734,    742.4671,    69.59985,   8.4754906,1113.0804,   8.4754906,    241.3120,    39.86365,   102.92910,  110.578102,        8.85,       20.77,        1.91,        1.01,        2.38,        8.94,        3.02,        2.91,3.346521,5.21,     491.915
1,AMB,AMB,2000,    353.8522,    6493.580,   132.11840,    230.6111,    884.5298,    46.76018,   3.1955937,1185.5169,   3.1955937,    175.4411,    56.72999,    57.83463,   81.835702,        7.77,       21.03,        2.46,        0.71,        1.52,        8.54,        2.68,        2.72,3.091808,4.77,     486.753
2,ELE,AMB,2000,    483.3777,    7938.874,   143.81707,    296.5630,   1088.2968,    53.37262,   3.9650671,1463.9712,   3.9650671,    209.6284,    83.75246,    62.97366,   49.501760,       10.58,       26.01,        3.19,        0.68,        1.10,       10.29,        3.12,        3.70,4.241041,6.71,     505.738
3,ELE,AMB,2000,    590.1671,   10907.074,    93.20667,    352.1236,   1204.4701,    64.72547,  19.7054574,1665.2025,  19.7054574,    287.0305,    28.07117,   149.82959,  110.166255,       13.26,       37.58,        1.99,        1.64,        2.35,       13.34,        3.61,        3.70,3.910548,5.52,     681.133
4,ELE,AMB,2000,    526.3325,    8456.156,   142.78660,    295.9725,   1108.9112,    54.46306,  15.4885410,1493.2442,  15.4885410,    255.4804,    43.50132,    75.75826,  104.263447,       10.90,       25.63,        2.63,        0.76,        1.92,        9.73,        3.13,        3.26,3.805781,5.54,     551.972
5,AMB,AMB,2000,    478.7912,    8584.743,    84.83993,    290.2680,    873.1818,    65.66066,   4.9397154,1257.796,   4.9397154,    259.9698,    37.50438,    85.26180,   98.550582,       11.55,       27.40,        1.90,        1.05,        2.21,        9.98,        3.57,        3.88,3.573808,5.07,     588.770
6,AMB,AMB,2000,    463.4634,    7984.593,    93.23400,    270.5601,    842.7018,    36.29306,   6.3983830,1174.6967,   6.3983830,    245.1597,    32.74680,    61.30058,   33.371316,       10.29,       22.64,        2.01,        0.71,        0.72,        8.48,        3.20,        3.15,3.473452,5,     510.672
1,AMB,AMB,2001,    405.7365,    7166.484,   125.71420,    251.2405,    683.0423,    22.83596,   0.8978772,966.6014,   0.8978772,    161.5229,    65.10173,    19.30018,   39.069571,        8.49,       22.65,        2.34,        1.14,        0.73,        7.45,        2.69,        2.62,3.619425,5.96,     454.409
2,ELE,AMB,2001,    513.3335,    8643.555,   165.38853,    283.9486,    886.6751,    18.17707,   2.2901720,1201.2786,   2.2901720,    204.0208,    67.71584,    48.57263,   33.458982,       10.43,       28.14,        3.67,        1.89,        0.74,        8.65,        3.12,        2.84,4.25074,6.83,     386.784
3,ELE,AMB,2001,    688.5017,   11928.297,   113.43333,    353.8459,   1064.7506,    26.47178,  14.3337938,1471.0636,  14.3337938,    295.0340,    28.23445,    40.48226,   26.489578,       14.57,       40.58,        2.42,        1.75,        0.57,       11.33,        3.63,        3.24,4.581589,6.74,     604.631
4,ELE,AMB,2001,    551.7645,    9277.526,   145.60330,    284.8669,    843.0906,    76.32843,   7.3659544,1223.8275,   7.3659544,    241.8873,    35.54429,    44.56415,   62.476247,       10.41,       27.89,        2.68,        1.08,        1.15,        8.89,        3.15,        2.43,3.890493,5.79,     488.878
5,AMB,AMB,2001,    534.2202,    9370.640,    97.97497,    292.7688,    794.6011,    47.65132,   4.6035323,1154.6147,   4.6035323,    237.1895,    38.03038,    95.86496,   51.050516,       11.12,       30.30,        2.20,        3.43,        1.15,        9.64,        3.58,        2.54,3.962411,6,     615.899
6,AMB,AMB,2001,    501.1502,    8569.028,    97.66200,    276.9345,    621.7490,    22.29802,  11.1410549,943.6949,  11.1410549,    226.7401,    30.67062,    52.49264,   23.859615,       10.72,       24.14,        2.10,        1.37,        0.51,        7.86,        3.23,        2.56,3.654493,5.51,     546.647
1,AMB,AMB,2002,    375.4939,    7483.967,   134.00000,    223.2513,    333.8762,    13.41660,   3.8439238,583.7176,   3.8439238,    171.2005,    57.17486,    46.65174,   12.229331,        7.75,       22.80,        2.49,        0.71,        0.23,        4.70,        2.20,        2.85,3.369041,4.69,     383.269
2,ELE,AMB,2002,    474.3662,    8983.581,   169.00000,    268.2311,    460.3104,    29.70861,  11.2851988,784.1089,  11.2851988,    202.6725,    69.01191,    78.65895,   25.481425,        9.49,       28.81,        3.75,        1.34,        0.57,        6.25,        2.44,        3.35,4.016,5.68,     359.163
3,ELE,AMB,2002,    657.0543,   12724.330,    99.00000,    323.8363,    850.0834,    37.35296,  11.4427571,1234.6884,  11.4427571,    324.1770,    30.09215,    62.89685,   39.537120,       12.83,       42.66,        2.12,        1.07,        0.84,        9.11,        3.31,        3.52,4.604027,6.03,     491.070
4,ELE,AMB,2002,    485.3405,    9708.676,   146.00000,    263.6751,    462.0966,    13.90838,  12.8824707,769.9065,  12.8824707,    245.2816,    37.62349,   171.61981,   39.069571,        9.03,       28.67,        2.69,        4.48,        0.72,        5.03,        2.54,        2.89,3.68211,4.84,     366.322
5,AMB,AMB,2002,    507.6710,    9828.629,    66.00000,    266.4022,    469.0691,    24.44153,   3.8946171,777.8276,   3.8946171,    244.8864,    39.96667,    84.60751,   32.085556,        9.57,       31.77,        1.48,        1.99,        0.72,        6.11,        2.69,        2.78,4.008521,5.31,     582.475
6,AMB,AMB,2002,    435.6353,    8765.744,    93.00000,    224.4488,    351.5300,    26.22848,   1.9194797,623.3974,   1.9194797,    225.0735,    31.42642,   248.11629,   27.380844,        9.59,       24.27,        2.00,       12.91,        0.59,        4.68,        2.54,        3.13,3.489178,4.45,     467.783
1,AMB,AMB,2003,    348.8230,    7629.748,   145.00000,    216.0526,    618.5642,   129.20666,   3.6433418,986.5693,   3.6433418,    170.4498,    50.92000,    63.03529,   54.489330,        7.73,       22.91,        3.03,        0.84,        1.14,        9.48,        3.29,        1.98,2.548959,3.99,     419.232
2,ELE,AMB,2003,    453.0910,    9633.594,   127.00000,    252.5681,    703.5676,   131.82543,   9.1101021,1121.3053,   9.1101021,    220.4607,    60.96218,   111.33145,   58.667101,        9.57,       32.73,        2.00,        1.39,        0.93,        9.87,        3.58,        2.68,3.187096,4.99,     446.247
3,ELE,AMB,2003,    594.4839,   13513.687,    92.00000,    319.5774,   1009.1532,    63.44377,  12.7212038,1424.6698,  12.7212038,    342.8966,    27.65199,   120.04820,   31.778614,       14.54,       45.52,        1.77,        1.66,        0.61,       11.63,        5.47,        4.17,3.464329,4.86,     656.735
4,ELE,AMB,2003,    464.2851,   10444.608,   181.00000,    253.4638,    883.8003,   128.72193,  15.0878957,1295.1386,  15.0878957,    250.6529,    42.19175,    99.81410,   74.676272,        9.72,       31.62,        2.83,        1.23,        1.17,       11.07,        4.08,        1.99,3.016795,4.51,     565.675
5,AMB,AMB,2003,    456.8786,   10268.277,    89.00000,    254.0899,    628.8146,    52.39899,   4.8618998,965.095,   4.8618998,    285.7980,    39.78615,   172.33819,   38.654175,       11.16,       35.10,        1.82,        2.38,        0.79,        8.44,        4.83,        3.70,3.133041,4.55,     618.998
6,AMB,AMB,2003,    408.2153,    9115.478,   118.00000,    234.6441,    561.4225,    68.17081,   6.9885725,892.1142,   6.9885725,    224.0949,    33.09459,   113.86100,   95.992096,        9.22,       26.14,        2.08,        1.43,        1.69,        8.38,        3.92,        2.14,2.685616,3.99,     547.447
1,AMB,AMB,2004,    392.9781,    8259.549,   148.00000,    261.1395,    660.4794,    31.44588,   2.0384862,962.0619,   2.0384862,    145.6065,    40.40717,    67.74833,   48.738901,        8.03,       28.09,        2.50,        0.90,        0.82,        8.83,        2.41,        1.47,3.027562,5.25,     354.449
2,ELE,AMB,2004,    510.8870,   10400.428,   126.00000,    325.5676,    783.9422,    51.95348,  16.7894018,1185.5285,  16.7894018,    171.2134,    49.01424,    50.47611,   58.745084,       10.03,       36.20,        1.68,        0.70,        0.79,       11.03,        2.58,        1.73,3.843425,6.69,     432.372
3,ELE,AMB,2004,    655.1790,   14630.231,   126.00000,    398.0103,   1163.7888,    37.63423,   8.0618084,1620.2366,   8.0618084,    250.7966,    28.90572,    46.27856,   29.921848,       13.92,       55.81,        2.17,        0.69,        0.51,       14.90,        3.76,        2.15,3.76663,5.94,     540.019
4,ELE,AMB,2004,    520.4979,   11180.476,   111.00000,    321.7522,    950.5454,    62.11078,   6.8187074,1354.0693,   6.8187074,    177.9694,    32.44074,    92.41986,   41.377512,        9.94,       42.31,        1.67,        1.25,        0.62,       12.86,        2.42,        1.76,3.291781,5.39,     478.014
5,AMB,AMB,2004,    490.1848,   10959.612,    87.00000,    317.2522,    743.5089,    80.19331,  11.7929112,1162.6025,  11.7929112,    189.9031,    37.13358,    92.80071,   26.841191,       10.00,       37.53,        1.32,        1.42,        0.41,       11.12,        3.11,        1.94,3.185288,5.24,     519.084
6,AMB,AMB,2004,    467.9550,    9716.182,    83.00000,    297.2234,    643.5152,    30.71450,   5.3438927,986.6209,   5.3438927,    169.5878,    32.62872,    43.38960,   11.299241,        9.11,       28.55,        1.48,        0.64,        0.20,        9.32,        2.81,        1.21,3.041781,4.93,     404.945
1,AMB,AMB,2005,    373.2832,    8962.058,   160.86576,    233.1081,    530.5922,   121.35196,   1.6411885,893.2457,   1.6411885,    180.4920,    59.99504,    26.75900,   63.407958,        8.09,       28.27,        3.35,        0.46,        1.32,        8.84,        3.12,        2.14,2.990521,5.12,     346.491
2,ELE,AMB,2005,    559.1837,   11128.965,   172.92735,    318.4580,    699.1729,    68.23659,   2.2710066,1097.1401,   2.2710066,    235.5630,    93.98836,    53.12767,   88.759297,       12.00,       35.49,        4.20,        0.78,        2.16,       10.31,        4.32,        2.92,4.146247,6.84,     359.367
3,ELE,AMB,2005,    717.2216,   15715.319,   141.56808,    369.2267,   1150.4522,    63.49333,   4.7557464,1600.8344,   4.7557464,    362.9286,    40.98940,    88.60484,   50.581582,       16.29,       52.74,        3.35,        1.50,        1.20,       13.01,        5.11,        3.99,4.614849,6.79,     369.041
