Comm,co2,treatment_o3,plot,year,fc_npp,fc_grow_repr,fc_leaf_litter,fc_grow_croot,fc_grow_wood,ptrait_lai,fc_froot_to_litter_1t2mm,fc_froot_to_litter_lt1mm,fc_grow_leaf,fc_grow_froot,ptrait_lai_peak,fc_grow_froot.1,ptrait_nconc_leaf,n_leaf,c_froot,c_croot,c_wood,c_leaf,fn_leaf_to_litter,ptrait_lma,ptrait_sla
AM,ELE,AMB,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.67,        0.01,0.4,2,1,0.4,          NA,          NA,          NA
AM,AMB,ELE,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.43,        0.01,0.4,1.4,1,0.4,          NA,          NA,          NA
AM,AMB,ELE,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        2.22,        0.02,0.4,1.3,0.9,0.4,          NA,          NA,          NA
AM,AMB,ELE,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.63,        0.01,0.3,1.1,0.7,0.3,          NA,          NA,          NA
AM,ELE,ELE,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.62,        0.02,0.6,1.9,1.2,0.5,          NA,          NA,          NA
AM,ELE,ELE,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.39,        0.01,0.6,1.8,1,0.5,          NA,          NA,          NA
AM,ELE,ELE,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.15,        0.01,0.3,1.5,0.7,0.4,          NA,          NA,          NA
A,AMB,AMB,1,1998,       145.0,         0.0,        11.2,        35.1,        82.4,        0.30,         2.5,         7.1,        11.2,        16.3,        0.30,        16.3,        1.88,        0.77,7.6,39.5,85.9,20,          NA,          NA,          NA
A,AMB,AMB,2,1998,       182.0,         0.0,        13.8,        42.2,       105.9,        0.41,         3.0,         8.7,        13.7,        20.2,        0.41,        20.2,        1.78,        0.91,9.4,46.7,109.5,25.8,          NA,          NA,          NA
A,AMB,AMB,3,1998,       217.0,         0.0,        16.8,        48.9,       129.1,        0.45,         3.3,         9.6,        16.7,        22.3,        0.45,        22.3,        1.89,        1.14,10.4,53.9,133.2,30.1,          NA,          NA,          NA
A,ELE,AMB,1,1998,       192.0,         0.0,        13.4,        47.3,       111.1,        0.38,         2.2,         9.5,        13.8,        19.8,        0.38,        19.8,        1.81,        0.96,9,52.4,115.3,25.5,          NA,          NA,          NA
A,ELE,AMB,2,1998,       160.0,         0.0,        12.2,        38.0,        91.6,        0.30,         2.0,         8.8,        12.1,        18.3,        0.30,        18.3,        1.62,        0.72,8.3,42.5,95.3,22.2,          NA,          NA,          NA
A,ELE,AMB,3,1998,       229.0,         0.0,        16.6,        54.5,       131.8,        0.36,         2.8,        12.2,        17.0,        25.7,        0.36,        25.7,        1.83,        1.13,11.6,59.3,135.6,31.1,          NA,          NA,          NA
A,AMB,ELE,1,1998,       135.0,         0.1,         9.3,        33.2,        66.8,        0.23,         2.5,        13.5,         9.5,        25.4,        0.23,        25.4,        1.46,        0.50,10.5,37.3,69.8,16.5,          NA,          NA,          NA
A,AMB,ELE,2,1998,       164.0,         0.1,        11.3,        37.3,        84.8,        0.34,         3.0,        16.1,        11.5,        30.3,        0.34,        30.3,        2.36,        0.98,12.5,41.4,87.9,22.3,          NA,          NA,          NA
A,AMB,ELE,3,1998,       164.0,         0.1,        11.7,        37.5,        86.4,        0.29,         2.8,        15.0,        12.1,        27.9,        0.29,        27.9,        1.66,        0.71,11.7,43.1,91.2,21.5,          NA,          NA,          NA
A,ELE,ELE,1,1998,       154.0,         0.1,        10.0,        34.5,        74.9,        0.23,         4.0,        18.7,         9.8,        34.7,        0.23,        34.7,        1.81,        0.68,13.3,38.6,77.9,17.8,          NA,          NA,          NA
A,ELE,ELE,2,1998,       207.0,         0.1,        13.5,        43.5,       104.9,        0.31,         5.2,        23.9,        14.0,        44.5,        0.31,        44.5,        1.48,        0.74,17,47.9,108.3,25.3,          NA,          NA,          NA
A,ELE,ELE,3,1998,       152.0,         0.1,        10.1,        33.8,        75.0,        0.23,         3.9,        17.9,        10.3,        32.8,        0.23,        32.8,        1.38,        0.52,12.7,38.9,79.2,18.8,          NA,          NA,          NA
AB,AMB,AMB,1,1998,       101.0,         0.0,        11.6,        22.7,        57.9,        0.32,         1.3,         4.0,        11.4,         9.0,        0.32,         9.0,        1.77,        0.66,4.1,24.9,60.3,17.9,          NA,          NA,          NA
AB,AMB,AMB,2,1998,       107.0,         0.0,        12.3,        23.8,        60.4,        0.39,         1.5,         4.7,        12.1,        10.7,        0.39,        10.7,        1.74,        0.67,4.9,25.8,62.5,19.4,          NA,          NA,          NA
AB,AMB,AMB,3,1998,       181.0,         0.0,        20.7,        38.3,       106.2,        0.54,         2.2,         6.9,        20.7,        15.8,        0.54,        15.8,        1.79,        1.13,7.1,41.5,110.1,31.4,          NA,          NA,          NA
AB,ELE,AMB,1,1998,       165.0,         0.0,        14.4,        36.2,        96.5,        0.38,         2.2,         7.9,        14.5,        17.8,        0.38,        17.8,        1.74,        0.81,8.2,38.9,99.3,22.8,          NA,          NA,          NA
AB,ELE,AMB,2,1998,       134.0,         0.0,        11.7,        29.9,        79.8,        0.33,         1.6,         5.9,        11.3,        13.0,        0.33,        13.0,        1.55,        0.59,6,32.7,82.9,19.1,          NA,          NA,          NA
AB,ELE,AMB,3,1998,       176.0,         0.0,        15.8,        38.5,       105.4,        0.43,         2.1,         7.4,        15.5,        16.6,        0.43,        16.6,        1.76,        0.90,7.7,41.2,108.3,25.6,          NA,          NA,          NA
AB,AMB,ELE,1,1998,       105.0,         0.1,         9.4,        23.3,        62.3,        0.22,         1.0,         4.9,         9.9,         9.4,        0.22,         9.4,        1.51,        0.48,3.8,25.6,64.9,15.2,          NA,          NA,          NA
AB,AMB,ELE,2,1998,       129.0,         0.1,        12.0,        28.1,        78.4,        0.28,         1.0,         5.1,        12.5,         9.9,        0.28,         9.9,        1.98,        0.74,4.1,30.6,81.6,18.7,          NA,          NA,          NA
AB,AMB,ELE,3,1998,        97.0,         0.1,         9.1,        21.5,        59.1,        0.21,         0.7,         3.7,         9.3,         7.0,        0.21,         7.0,        1.58,        0.47,2.9,23.9,62,14.9,          NA,          NA,          NA
AB,ELE,ELE,1,1998,       118.0,         0.0,         9.8,        26.8,        67.2,        0.24,         1.6,         7.7,         9.8,        14.2,        0.24,        14.2,        1.75,        0.57,5.3,28.9,69.3,15.9,          NA,          NA,          NA
AB,ELE,ELE,2,1998,       135.0,         0.0,        11.6,        29.5,        76.1,        0.27,         1.9,         9.4,        12.0,        17.4,        0.27,        17.4,        1.39,        0.51,6.6,32,78.8,18.1,          NA,          NA,          NA
AB,ELE,ELE,3,1998,       110.0,         0.0,         9.7,        23.9,        63.7,        0.21,         1.4,         7.1,         9.4,        13.0,        0.21,        13.0,        1.39,        0.46,5,26.7,67.1,16.4,          NA,          NA,          NA
