Comm,co2,treatment_o3,plot,year,fc_npp,fc_grow_repr,fc_leaf_litter,fc_grow_croot,fc_grow_wood,ptrait_lai,fc_froot_to_litter_1t2mm,fc_froot_to_litter_lt1mm,fc_grow_leaf,fc_grow_froot,ptrait_lai_peak,fc_grow_froot.1,ptrait_nconc_leaf,n_leaf,c_froot,c_croot,c_wood,c_leaf,fn_leaf_to_litter,ptrait_lma,ptrait_sla
A,ELE,AMB,1,2000,       397.8,         3.4,        69.9,        42.2,       220.9,        1.98,         7.8,        33.9,        82.4,        48.9,        1.98,        48.9,        1.81,        5.02,32.3,187.8,720.5,132.8,          NA,          NA,          NA
A,ELE,AMB,2,2000,       394.1,         3.1,        68.1,        41.1,       224.4,        1.65,         7.6,        33.1,        76.8,        48.7,        1.65,        48.7,        1.62,        3.98,31.5,160.5,644.5,123.5,          NA,          NA,          NA
A,ELE,AMB,3,2000,       467.7,         2.9,        75.1,        52.1,       269.6,        1.61,         9.1,        39.2,        84.7,        58.4,        1.61,        58.4,        1.83,        5.11,37.3,190.5,726.5,140.7,          NA,          NA,          NA
A,AMB,ELE,1,2000,       261.3,         0.9,        40.9,        30.4,       130.3,        1.04,         7.6,        41.0,        43.6,        56.1,        1.04,        56.1,        1.46,        2.22,31.8,116.6,365.7,72.9,          NA,          NA,          NA
A,AMB,ELE,2,2000,       244.2,         0.9,        42.7,        24.8,       114.1,        1.28,         8.2,        44.1,        45.3,        59.1,        1.28,        59.1,        2.36,        3.70,34.1,115.5,387.5,84.4,          NA,          NA,          NA
A,AMB,ELE,3,2000,       259.0,         0.6,        45.8,        26.9,       126.2,        1.15,         7.9,        42.4,        48.0,        57.3,        1.15,        57.3,        1.66,        2.79,32.9,122.5,418,84.3,          NA,          NA,          NA
A,ELE,ELE,1,2000,       397.1,         1.4,        50.6,        42.6,       206.1,        1.14,        13.8,        63.8,        55.5,        91.5,        1.14,        91.5,        1.81,        3.44,45.5,133.8,478.3,90.1,          NA,          NA,          NA
A,ELE,ELE,2,2000,       330.5,         1.6,        50.6,        30.9,       152.7,        1.15,        14.1,        65.2,        55.5,        89.8,        1.15,        89.8,        1.48,        2.79,46.4,132.2,470.8,94.7,          NA,          NA,          NA
A,ELE,ELE,3,2000,       300.7,         1.2,        44.9,        30.8,       143.2,        1.00,        11.9,        55.2,        49.0,        76.5,        1.00,        76.5,        1.38,        2.30,39.3,122.2,416.2,83.4,          NA,          NA,          NA
AB,AMB,AMB,1,2000,       214.6,         1.6,        58.9,        23.1,        98.9,        1.60,         5.4,        17.0,        64.8,        26.2,        1.60,        26.2,        1.76,        3.28,17.6,106.2,389.8,89.6,          NA,          NA,          NA
AB,AMB,AMB,2,2000,       190.2,         1.0,        53.5,        19.6,        87.0,        1.68,         5.5,        17.2,        56.3,        26.3,        1.68,        26.3,        1.73,        2.88,17.9,96.3,340.2,83.7,          NA,          NA,          NA
AB,AMB,AMB,3,2000,       239.5,         2.1,        73.9,        22.4,       101.9,        1.90,         6.9,        21.4,        81.1,        32.0,        1.90,        32.0,        1.77,        3.87,22.2,129.4,473.6,108.4,          NA,          NA,          NA
AB,ELE,AMB,1,2000,       434.7,         6.0,        99.7,        43.1,       212.8,        2.77,         9.4,        33.9,       120.7,        52.1,        2.77,        52.1,        1.71,        5.15,35,167.7,663.3,146.2,          NA,          NA,          NA
AB,ELE,AMB,2,2000,       255.7,         2.9,        71.1,        23.6,       115.6,        2.02,         6.5,        23.6,        79.8,        33.8,        2.02,        33.8,        1.55,        3.57,24.2,134.1,530.4,115.2,          NA,          NA,          NA
AB,ELE,AMB,3,2000,       351.2,         3.8,        83.5,        36.9,       173.0,        2.37,         7.6,        27.4,        95.7,        41.8,        2.37,        41.8,        1.73,        4.49,28.2,152.2,585.6,129.6,          NA,          NA,          NA
AB,AMB,ELE,1,2000,       230.2,         1.7,        48.2,        27.7,       122.3,        1.08,         3.4,        17.3,        54.0,        24.5,        1.08,        24.5,        1.54,        2.33,13.7,92.1,336.2,72.6,          NA,          NA,          NA
AB,AMB,ELE,2,2000,       213.5,         1.5,        61.7,        21.4,       101.1,        1.44,         3.4,        17.4,        66.1,        23.4,        1.44,        23.4,        1.81,        3.27,13.8,105.4,400.3,89.5,          NA,          NA,          NA
AB,AMB,ELE,3,2000,       187.7,         1.0,        54.0,        19.8,        89.8,        1.28,         2.9,        14.7,        57.1,        20.0,        1.28,        20.0,        1.50,        2.40,11.6,95.9,358.1,80.1,          NA,          NA,          NA
AB,ELE,ELE,1,2000,       301.1,         2.2,        58.5,        34.8,       155.2,        1.42,         6.2,        30.6,        65.7,        43.2,        1.42,        43.2,        1.74,        3.25,21.2,115.2,420.1,91,          NA,          NA,          NA
AB,ELE,ELE,2,2000,       270.6,         2.2,        68.4,        25.7,       118.4,        1.57,         7.3,        36.2,        75.8,        48.5,        1.57,        48.5,        1.36,        2.80,25.1,124.4,459,100.7,          NA,          NA,          NA
AB,ELE,ELE,3,2000,       197.0,         1.6,        50.4,        18.9,        86.5,        1.08,         5.3,        26.3,        55.2,        34.8,        1.08,        34.8,        1.40,        2.29,18.3,100.6,367.5,81.6,          NA,          NA,          NA
AM,AMB,AMB,1,2000,       170.4,         1.6,        29.5,        22.1,        80.6,        0.93,         3.6,        23.3,        34.0,        32.1,        0.93,        32.1,        1.86,        2.06,18,75.2,250.2,53.5,          NA,          NA,          NA
AM,AMB,AMB,2,2000,       157.4,         1.4,        24.7,        21.1,        79.0,        0.75,         3.0,        19.6,        28.7,        27.2,        0.75,        27.2,        1.77,        1.62,15.2,63.8,204.7,45.7,          NA,          NA,          NA
AM,AMB,AMB,3,2000,       117.6,         2.1,        23.6,        14.9,        45.8,        0.56,         2.9,        18.8,        29.9,        24.9,        0.56,        24.9,        1.79,        1.59,14.6,63.3,188.6,43.9,          NA,          NA,          NA
AM,ELE,AMB,1,2000,       203.9,         0.0,        41.4,        26.6,        96.9,        1.09,         5.8,        27.7,        41.0,        39.4,        1.09,        39.4,        1.77,        2.63,25.4,114.9,352.6,70.2,          NA,          NA,          NA
AM,ELE,AMB,2,2000,       129.9,         0.0,        40.9,        11.0,        44.1,        1.05,         5.5,        26.0,        41.0,        33.8,        1.05,        33.8,        1.61,        2.33,23.8,109.8,357.1,72.2,          NA,          NA,          NA
AM,ELE,AMB,3,2000,       120.7,         0.0,        38.5,        10.0,        41.6,        0.94,         4.9,        23.5,        38.7,        30.4,        0.94,        30.4,        1.79,        2.40,21.5,105.3,323.2,67.8,          NA,          NA,          NA
AM,AMB,ELE,1,2000,       101.3,         1.4,        15.8,        13.6,        45.6,        0.35,         1.4,        15.7,        20.4,        20.3,        0.35,        20.3,        1.44,        0.87,9.9,40.3,121.4,29,          NA,          NA,          NA
AM,AMB,ELE,2,2000,       196.4,         1.8,        32.6,        18.0,       106.6,        0.78,         2.3,        25.1,        38.2,        31.8,        0.78,        31.8,        2.33,        2.77,15.9,63.7,285.2,59.7,          NA,          NA,          NA
AM,AMB,ELE,3,2000,        89.3,         0.9,        16.2,        11.4,        40.5,        0.38,         1.3,        14.3,        18.3,        18.2,        0.38,        18.2,        1.64,        0.99,9,39.1,125.8,30.2,          NA,          NA,          NA
AM,ELE,ELE,1,2000,       284.4,         0.0,        41.5,        32.3,       148.4,        0.94,         9.2,        43.5,        41.0,        62.7,        0.94,        62.7,        1.75,        2.62,30.7,98.7,355.2,72.7,          NA,          NA,          NA
AM,ELE,ELE,2,2000,       191.8,         0.0,        37.7,        16.8,        82.6,        0.98,         7.6,        42.3,        38.0,        54.4,        0.98,        54.4,        1.47,        1.99,28.1,89.8,333,67.4,          NA,          NA,          NA
AM,ELE,ELE,3,2000,       130.8,         0.0,        19.9,        19.7,        62.9,        0.45,         3.6,        20.0,        19.8,        28.4,        0.45,        28.4,        1.28,        0.88,13.4,51.8,147.1,34,          NA,          NA,          NA
A,AMB,AMB,1,2001,       335.3,         3.7,        70.3,        30.7,       174.1,        1.90,        10.1,        29.0,        81.8,        45.0,        1.90,        45.0,        1.88,        4.83,31.4,161.8,659.5,125.2,          NA,          NA,          NA
A,AMB,AMB,2,2001,       343.2,         1.6,        77.5,        30.4,       178.8,        2.34,        11.4,        32.6,        82.5,        49.9,        2.34,        49.9,        1.78,        5.10,35.2,175.4,747.6,145.2,          NA,          NA,          NA
A,AMB,AMB,3,2001,       380.5,         3.0,        80.9,        34.8,       203.6,        2.18,        11.1,        32.0,        89.6,        49.5,        2.18,        49.5,        1.89,        5.48,34.6,179.8,759,145,          NA,          NA,          NA
A,ELE,AMB,1,2001,       515.4,         6.1,        94.2,        47.9,       283.2,        2.67,         9.8,        42.6,       117.5,        60.7,        2.67,        60.7,        1.81,        6.76,40.5,235,1001.9,179,          NA,          NA,          NA
A,ELE,AMB,2,2001,       490.0,         5.6,        93.2,        42.3,       272.7,        2.26,         9.6,        41.7,       109.8,        59.6,        2.26,        59.6,        1.62,        5.45,39.6,202.5,916.9,169.2,          NA,          NA,          NA
A,ELE,AMB,3,2001,       658.8,         5.7,       109.9,        63.7,       384.6,        2.36,        12.1,        52.3,       128.0,        76.8,        2.36,        76.8,        1.83,        7.48,49.7,254,1110.9,206.1,          NA,          NA,          NA
A,AMB,ELE,1,2001,       284.3,         1.6,        52.4,        27.2,       130.4,        1.33,         9.4,        50.5,        57.9,        67.2,        1.33,        67.2,        1.46,        2.84,39.1,139.4,482.1,93.4,          NA,          NA,          NA
A,AMB,ELE,2,2001,       298.2,         1.6,        55.2,        26.5,       138.3,        1.65,        10.0,        53.7,        60.5,        71.3,        1.65,        71.3,        2.36,        4.78,41.6,138.5,517.2,109,          NA,          NA,          NA
A,AMB,ELE,3,2001,       304.6,         1.1,        59.0,        27.7,       145.9,        1.48,         9.5,        51.1,        62.6,        67.3,        1.48,        67.3,        1.66,        3.59,39.6,146.9,555.2,108.7,          NA,          NA,          NA
A,ELE,ELE,1,2001,       539.7,         2.8,        75.6,        48.5,       280.9,        1.71,        18.8,        87.3,        84.7,       122.8,        1.71,       122.8,        1.81,        5.14,62.1,180,751.9,134.7,          NA,          NA,          NA
A,ELE,ELE,2,2001,       454.4,         3.1,        70.6,        38.7,       215.7,        1.60,        18.2,        84.4,        80.6,       116.3,        1.60,       116.3,        1.48,        3.89,60.1,169.3,682.1,132.1,          NA,          NA,          NA
A,ELE,ELE,3,2001,       380.6,         2.1,        61.2,        33.9,       179.3,        1.36,        15.2,        70.6,        68.6,        96.7,        1.36,        96.7,        1.38,        3.14,50.2,153.6,587.8,113.8,          NA,          NA,          NA
AB,AMB,AMB,1,2001,       307.9,         2.9,        78.8,        32.1,       150.1,        2.12,         7.1,        22.0,        88.5,        34.3,        2.12,        34.3,        1.75,        4.30,22.8,138.2,539.8,118.1,          NA,          NA,          NA
AB,AMB,AMB,2,2001,       256.4,         1.7,        69.3,        25.5,       120.5,        2.16,         7.0,        21.8,        75.0,        33.7,        2.16,        33.7,        1.73,        3.71,22.7,120.9,457.2,107.8,          NA,          NA,          NA
AB,AMB,AMB,3,2001,       377.7,         3.7,        97.6,        36.9,       185.2,        2.51,         8.8,        27.3,       109.6,        42.3,        2.51,        42.3,        1.76,        5.08,28.4,165.7,657.5,142.4,          NA,          NA,          NA
AB,ELE,AMB,1,2001,       888.6,        14.5,       181.1,        85.3,       473.5,        5.10,        14.1,        50.9,       232.7,        82.6,        5.10,        82.6,        1.69,        8.96,52.4,253,1136.8,256.1,          NA,          NA,          NA
AB,ELE,AMB,2,2001,       436.7,         5.5,       100.4,        42.6,       222.0,        2.81,         8.6,        31.0,       119.3,        47.3,        2.81,        47.3,        1.54,        4.93,31.9,172.5,738.6,159.8,          NA,          NA,          NA
AB,ELE,AMB,3,2001,       543.0,         7.6,       126.1,        53.9,       273.8,        3.64,        10.3,        37.0,       150.5,        57.2,        3.64,        57.2,        1.71,        6.57,38.1,206.2,859.4,191,          NA,          NA,          NA
AB,AMB,ELE,1,2001,       271.0,         3.2,        67.5,        27.0,       131.9,        1.51,         4.4,        22.4,        78.0,        30.9,        1.51,        30.9,        1.55,        3.23,17.8,118,463.1,99.8,          NA,          NA,          NA
AB,AMB,ELE,2,2001,       340.9,         2.9,        90.2,        33.1,       173.1,        2.11,         4.5,        22.8,       100.2,        31.6,        2.11,        31.6,        1.77,        4.57,18,137.2,569,128.2,          NA,          NA,          NA
AB,AMB,ELE,3,2001,       279.0,         1.9,        76.8,        28.3,       140.4,        1.82,         3.7,        18.9,        82.5,        25.9,        1.82,        25.9,        1.49,        3.31,14.9,123.5,496.7,111.7,          NA,          NA,          NA
AB,ELE,ELE,1,2001,       570.6,         5.3,       106.0,        62.3,       310.3,        2.59,         9.5,        47.0,       124.8,        67.9,        2.59,        67.9,        1.72,        5.63,32.6,177.5,730.4,159.1,          NA,          NA,          NA
AB,ELE,ELE,2,2001,       479.4,         4.6,       106.3,        47.4,       236.8,        2.42,        10.1,        49.9,       121.1,        69.5,        2.42,        69.5,        1.34,        4.21,34.7,170.6,691.4,152.6,          NA,          NA,          NA
AB,ELE,ELE,3,2001,       294.7,         2.8,        68.5,        28.1,       140.0,        1.47,         6.8,        33.8,        78.0,        45.8,        1.47,        45.8,        1.40,        3.10,23.5,127.1,501,110.2,          NA,          NA,          NA
AM,AMB,AMB,1,2001,       203.3,         2.9,        39.4,        22.2,        89.5,        1.30,         4.6,        30.2,        48.6,        40.1,        1.30,        40.1,        1.85,        2.77,23.3,97.4,339.7,72.3,          NA,          NA,          NA
AM,AMB,AMB,2,2001,       164.5,         2.5,        32.6,        20.0,        67.2,        1.03,         3.9,        25.7,        40.5,        34.3,        1.03,        34.3,        1.76,        2.18,19.8,83.5,271.7,61.8,          NA,          NA,          NA
AM,AMB,AMB,3,2001,       178.3,         3.8,        31.9,        22.6,        74.0,        0.78,         3.9,        25.5,        43.4,        34.5,        0.78,        34.5,        1.74,        2.16,19.7,85.8,262.5,61.2,          NA,          NA,          NA
AM,ELE,AMB,1,2001,       357.5,         8.2,        59.5,        39.0,       171.8,        1.58,         7.8,        37.1,        85.1,        53.4,        1.58,        53.4,        1.77,        3.75,34,153.7,524.2,100.5,          NA,          NA,          NA
AM,ELE,AMB,2,2001,       306.0,         8.0,        56.2,        33.0,       137.5,        1.48,         7.1,        33.7,        79.5,        48.0,        1.48,        48.0,        1.61,        3.18,31,142.8,494.5,98.9,          NA,          NA,          NA
AM,ELE,AMB,3,2001,       289.5,         7.7,        53.7,        35.2,       125.5,        1.37,         6.6,        31.3,        76.1,        45.0,        1.37,        45.0,        1.76,        3.27,28.7,140.4,448.7,93.7,          NA,          NA,          NA
AM,AMB,ELE,1,2001,       114.3,         2.5,        21.1,        11.1,        47.0,        0.47,         1.8,        20.0,        29.2,        24.5,        0.47,        24.5,        1.44,        1.17,12.7,51.3,168.3,38.9,          NA,          NA,          NA
AM,AMB,ELE,2,2001,       199.6,         3.1,        42.1,        16.1,        90.1,        1.04,         2.9,        31.4,        52.1,        38.2,        1.04,        38.2,        2.32,        3.58,19.9,79.8,375.3,77.6,          NA,          NA,          NA
AM,AMB,ELE,3,2001,       138.2,         1.8,        23.5,        17.6,        63.6,        0.57,         1.9,        20.4,        29.0,        26.2,        0.57,        26.2,        1.62,        1.48,13,56.1,188.1,45.1,          NA,          NA,          NA
AM,ELE,ELE,1,2001,       448.1,        11.2,        63.9,        40.3,       210.4,        1.46,        12.9,        61.1,        99.8,        86.4,        1.46,        86.4,        1.74,        4.01,43.1,138.8,565.6,111.5,          NA,          NA,          NA
AM,ELE,ELE,2,2001,       362.2,         5.5,        55.5,        32.6,       174.3,        1.49,        10.3,        57.5,        71.8,        78.0,        1.49,        78.0,        1.46,        2.91,38.3,122.3,507.2,99,          NA,          NA,          NA
AM,ELE,ELE,3,2001,       163.3,         4.3,        28.6,        18.2,        63.1,        0.65,         4.8,        27.0,        41.3,        36.4,        0.65,        36.4,        1.25,        1.22,18,69.9,210.2,48,          NA,          NA,          NA
A,AMB,AMB,1,2002,       398.4,         5.3,        82.6,        30.7,       190.9,        2.23,        11.3,        52.1,        99.3,        72.2,        2.23,        72.2,        2.02,        6.52,45.6,191.9,849.6,157.6,          NA,          NA,     0.01334
A,AMB,AMB,2,2002,       454.3,         1.5,        95.3,        36.9,       237.0,        2.87,        13.0,        56.5,        99.8,        79.1,        2.87,        79.1,        1.99,        7.32,50.6,211.9,984.2,186.6,          NA,          NA,     0.01470
A,AMB,AMB,3,2002,       427.3,         2.3,        90.0,        34.3,       216.9,        2.42,        12.5,        55.0,        97.0,        76.8,        2.42,        76.8,        2.12,        7.73,48.9,213.4,974.3,182.3,          NA,          NA,     0.01349
A,ELE,AMB,1,2002,       589.9,         5.7,       114.3,        47.9,       309.6,        3.24,        11.3,        63.5,       136.4,        90.3,        3.24,        90.3,        1.93,        9.20,54.7,282.6,1311.3,228.7,          NA,          NA,     0.01286
A,ELE,AMB,2,2002,       565.1,         5.7,       108.4,        43.5,       298.7,        2.63,        11.1,        65.2,       125.0,        92.2,        2.63,        92.2,        1.89,        8.18,55.4,245.3,1214.6,218.3,          NA,          NA,     0.01211
A,ELE,AMB,3,2002,       760.7,         4.0,       138.6,        63.4,       431.8,        2.97,        14.1,        77.1,       151.4,       110.1,        2.97,       110.1,        2.03,       11.09,67,316.7,1541.7,276.9,          NA,          NA,     0.01041
A,AMB,ELE,1,2002,       314.7,         3.1,        58.5,        24.1,       126.9,        1.48,        10.4,        75.4,        68.8,        91.8,        1.48,        91.8,        1.63,        3.92,53,162.8,608,115.3,          NA,          NA,     0.01232
A,AMB,ELE,2,2002,       325.5,         3.3,        67.2,        22.2,       127.1,        2.01,        10.8,        78.7,        77.2,        95.7,        2.01,        95.7,        2.24,        5.52,55.3,159.6,642.6,132.6,          NA,          NA,     0.01466
A,AMB,ELE,3,2002,       393.1,         3.1,        82.6,        30.1,       175.7,        2.07,        10.6,        75.1,        92.5,        91.7,        2.07,        91.7,        1.82,        5.00,53.2,173.6,724,138,          NA,          NA,     0.01235
A,ELE,ELE,1,2002,       581.3,         3.7,       116.5,        42.8,       276.5,        2.63,        22.3,       117.0,       128.9,       129.4,        2.63,       129.4,        1.89,        7.13,79.5,222.4,1027.7,178.7,          NA,          NA,     0.01083
A,ELE,ELE,2,2002,       426.9,         5.1,        86.3,        27.8,       172.3,        1.95,        19.9,       108.2,       102.8,       118.9,        1.95,       118.9,        1.78,        5.73,72.4,196.6,853.5,161.9,          NA,          NA,     0.01093
A,ELE,ELE,3,2002,       437.8,         4.4,        70.0,        35.5,       206.2,        1.56,        17.6,        97.6,        84.7,       107.0,        1.56,       107.0,        1.57,        4.70,65,188.4,793.1,149.5,          NA,          NA,     0.01080
AB,AMB,AMB,1,2002,       349.8,         2.4,       124.8,        24.6,       128.0,        3.31,         8.6,        45.5,       133.2,        61.6,        3.31,        61.6,        1.88,        5.55,37.7,162.4,666.9,141.5,          NA,          NA,     0.02602
AB,AMB,AMB,2,2002,       309.5,         2.6,        80.6,        25.3,       126.3,        2.57,         8.7,        48.9,        89.7,        65.6,        2.57,        65.6,        1.93,        5.12,39.8,146,583.2,133.6,          NA,          NA,     0.03083
AB,AMB,AMB,3,2002,       359.1,         1.4,       115.4,        27.0,       140.9,        2.95,        10.3,        51.0,       120.1,        69.7,        2.95,        69.7,        1.92,        6.52,43.3,192.1,796.7,168.1,          NA,          NA,     0.02561
AB,ELE,AMB,1,2002,       589.0,         1.6,       175.2,        42.1,       252.9,        5.05,        16.6,        75.7,       180.9,       111.5,        5.05,       111.5,        1.80,       11.75,70.5,293.9,1385.4,315.4,          NA,          NA,     0.02520
AB,ELE,AMB,2,2002,       458.2,         2.6,       117.4,        36.5,       212.9,        3.18,        10.7,        55.2,       126.7,        79.5,        3.18,        79.5,        1.71,        7.07,49,208.9,951.3,205.5,          NA,          NA,     0.02682
AB,ELE,AMB,3,2002,       618.9,         3.3,       150.0,        54.2,       309.4,        4.41,        13.1,        62.7,       160.5,        91.5,        4.41,        91.5,        1.91,        9.95,57.3,259.7,1166.9,259.2,          NA,          NA,     0.02752
AB,AMB,ELE,1,2002,       283.7,         2.6,        94.4,        19.1,        98.6,        2.06,         5.3,        50.5,       103.8,        59.6,        2.06,        59.6,        1.64,        4.16,33,136.7,560.7,121,          NA,          NA,     0.02169
AB,AMB,ELE,2,2002,       246.4,         3.0,        80.0,        15.2,        83.4,        1.87,         5.0,        45.9,        90.4,        54.4,        1.87,        54.4,        1.85,        5.51,30.3,151.4,649.8,147.2,          NA,          NA,     0.02278
AB,AMB,ELE,3,2002,       320.8,         1.3,       104.2,        25.5,       136.2,        2.47,         4.5,        42.2,       107.8,        50.0,        2.47,        50.0,        1.66,        4.75,27.8,149,632.9,143.7,          NA,          NA,     0.02322
AB,ELE,ELE,1,2002,       518.9,         2.6,       170.7,        39.6,       214.4,        4.21,        11.6,        77.6,       179.5,        82.8,        4.21,        82.8,        1.83,        7.83,48.6,216.2,942.4,207.2,          NA,          NA,     0.02287
AB,ELE,ELE,2,2002,       359.9,         2.8,       105.3,        24.8,       132.2,        2.41,        11.6,        80.6,       114.4,        85.7,        2.41,        85.7,        1.69,        6.37,49.8,195.3,823.6,183.3,          NA,          NA,     0.02256
AB,ELE,ELE,3,2002,       359.4,         3.9,        94.8,        28.3,       150.0,        2.03,         8.9,        66.3,       107.4,        69.8,        2.03,        69.8,        1.63,        4.67,40.2,155.5,651,142.6,          NA,          NA,     0.02084
AM,AMB,AMB,1,2002,       264.4,        13.4,        48.1,        19.6,        69.9,        1.64,         6.1,        57.9,        88.6,        72.9,        1.64,        72.9,        1.92,        3.51,40.3,117,409.6,88.1,          NA,          NA,     0.05516
AM,AMB,AMB,2,2002,       265.4,         7.8,        62.4,        20.5,        84.9,        1.99,         5.2,        52.8,        86.2,        66.0,        1.99,        66.0,        1.94,        3.12,36.3,104,356.6,80.2,          NA,          NA,     0.04036
AM,AMB,AMB,3,2002,       256.6,        18.0,        20.8,        21.1,        75.1,        0.53,         5.4,        53.5,        75.3,        67.1,        0.53,        67.1,        1.86,        2.96,36.9,105.2,334.9,77.9,          NA,          NA,     0.02631
AM,ELE,AMB,1,2002,       494.3,         8.6,        96.3,        46.1,       221.4,        2.42,        10.9,        68.3,       122.4,        95.8,        2.42,        95.8,        1.82,        5.34,56.8,199.3,745.3,138.6,          NA,          NA,     0.03435
AM,ELE,AMB,2,2002,       406.1,         9.7,        91.1,        33.4,       155.5,        2.32,         9.7,        62.8,       120.0,        87.5,        2.32,        87.5,        1.78,        4.56,51.6,176,649.8,127.5,          NA,          NA,     0.03759
AM,ELE,AMB,3,2002,       459.8,        18.5,        97.3,        38.5,       170.9,        2.37,         9.0,        58.7,       150.1,        81.8,        2.37,        81.8,        1.93,        4.83,48.2,178.7,619.5,126.1,          NA,          NA,     0.03227
AM,AMB,ELE,1,2002,       172.6,         3.0,        52.8,        10.0,        39.1,        1.42,         2.5,        51.5,        62.7,        57.8,        1.42,        57.8,        1.64,        1.64,29.3,61.3,207.4,47.8,          NA,          NA,     0.02807
AM,AMB,ELE,2,2002,       392.0,         9.9,        78.1,        25.6,       171.7,        2.08,         4.2,        67.3,       108.3,        76.5,        2.08,        76.5,        2.30,        5.01,39.8,105,546.7,109.2,          NA,          NA,     0.04667
AM,AMB,ELE,3,2002,       257.0,         4.6,        63.8,        24.3,        92.1,        1.60,         2.7,        51.2,        78.4,        57.6,        1.60,        57.6,        1.76,        2.40,29.5,80,279.6,67.1,          NA,          NA,     0.02873
AM,ELE,ELE,1,2002,       364.9,         5.1,       101.9,        21.0,       119.2,        2.29,        13.8,        95.9,       117.7,       101.9,        2.29,       101.9,        1.83,        5.01,59.3,159.8,684.7,133.1,          NA,          NA,     0.02723
AM,ELE,ELE,2,2002,       354.3,         4.7,        82.3,        22.0,       127.9,        2.15,        13.7,        97.1,        96.9,       102.8,        2.15,       102.8,        1.74,        4.26,59.7,144.2,635.1,121.8,          NA,          NA,     0.04952
AM,ELE,ELE,3,2002,       216.6,         5.5,        48.6,        15.2,        71.8,        1.09,         6.5,        57.0,        65.2,        58.9,        1.09,        58.9,        1.48,        1.85,33,84.4,281.2,61.7,          NA,          NA,     0.02424
A,AMB,AMB,1,2003,       493.1,         6.7,       104.3,        43.6,       225.7,        2.81,        13.4,        68.2,       124.2,        92.9,        2.81,        92.9,        2.20,        8.22,57.4,234.8,1074,182,          NA,          NA,     0.01356
A,AMB,AMB,2,2003,       489.0,         2.6,       109.3,        42.0,       230.7,        2.84,        12.7,        71.5,       117.9,        95.8,        2.84,        95.8,        2.27,        8.99,57.9,253.2,1213.5,200.9,          NA,          NA,     0.01293
A,AMB,AMB,3,2003,       488.0,         4.2,       107.4,        45.8,       225.5,        2.83,        11.5,        70.0,       119.9,        92.6,        2.83,        92.6,        2.42,        9.22,55.2,259.1,1199.7,190.2,          NA,          NA,     0.01336
A,ELE,AMB,1,2003,       637.1,         6.0,       142.8,        60.6,       291.8,        3.98,        14.1,        82.9,       161.5,       117.2,        3.98,       117.2,        2.08,       10.94,70.3,339.9,1595.6,251.8,          NA,          NA,     0.01365
A,ELE,AMB,2,2003,       508.7,         3.8,       118.0,        44.6,       210.3,        3.31,        11.4,        88.5,       129.4,       120.6,        3.31,       120.6,        2.24,        9.63,68.9,287.3,1419.6,216.6,          NA,          NA,     0.01385
A,ELE,AMB,3,2003,       756.1,         8.0,       152.4,        83.1,       360.4,        4.08,        14.8,        91.9,       175.7,       128.9,        4.08,       128.9,        2.28,       12.39,76.5,390.2,1859.8,275,          NA,          NA,     0.01350
A,AMB,ELE,1,2003,       386.7,         3.0,        71.7,        35.7,       150.2,        1.65,        11.4,        98.3,        80.5,       117.3,        1.65,       117.3,        1.86,        4.67,65.9,197,754.6,120.9,          NA,          NA,     0.01184
A,AMB,ELE,2,2003,       450.6,         2.3,        88.0,        39.3,       181.2,        2.10,         9.8,       113.9,        95.5,       132.3,        2.10,       132.3,        2.08,        6.62,71.4,192.4,804.6,170.9,          NA,          NA,     0.01186
A,AMB,ELE,3,2003,       496.3,         4.4,        92.8,        45.8,       223.2,        2.55,        11.0,        98.1,       106.2,       116.7,        2.55,       116.7,        2.04,        6.79,65.2,217.6,942.7,167.7,          NA,          NA,     0.01376
A,ELE,ELE,1,2003,       651.3,         5.7,       111.6,        70.5,       283.4,        2.75,        20.9,       153.4,       129.8,       161.9,        2.75,       161.9,        2.00,        8.20,93.4,291.8,1308.9,194.3,          NA,          NA,     0.01212
A,ELE,ELE,2,2003,       542.2,         6.1,       115.7,        47.5,       203.4,        2.76,        21.4,       141.3,       134.0,       151.2,        2.76,       151.2,        2.17,        9.10,88.7,243.4,1055.8,210.1,          NA,          NA,     0.01186
A,ELE,ELE,3,2003,       524.2,         5.2,       108.8,        48.6,       219.7,        2.55,        18.1,       117.6,       124.7,       126.0,        2.55,       126.0,        1.83,        7.22,74.3,237,1012.8,197.6,          NA,          NA,     0.01160
AB,AMB,AMB,1,2003,       360.7,         4.2,       112.4,        39.5,       118.7,        2.99,         8.1,        56.9,       124.4,        73.9,        2.99,        73.9,        2.07,        6.87,42.9,201.8,785.5,159.4,          NA,          NA,     0.02711
AB,AMB,AMB,2,2003,       338.6,         2.0,        86.7,        36.9,       128.0,        2.63,         9.3,        60.4,        92.4,        79.3,        2.63,        79.3,        2.20,        6.22,46.8,180.8,703.3,143.7,          NA,          NA,     0.03097
AB,AMB,AMB,3,2003,       383.0,         5.4,        91.0,        51.0,       134.3,        2.71,        10.5,        64.5,       107.0,        85.3,        2.71,        85.3,        2.14,        5.73,50.7,242,927.6,132.4,          NA,          NA,     0.02987
AB,ELE,AMB,1,2003,       625.2,         9.1,       151.1,        92.1,       221.8,        4.40,        15.6,        86.3,       179.2,       123.0,        4.40,       123.0,        2.01,        8.97,74.8,373.4,1556.6,216.7,          NA,          NA,     0.02871
