year,plot,co2,fc_grow_wood,fc_grow_croot,fc_grow_leaf,fc_grow_froot,fc_npp,c_wood,c_croot,c_leaf,c_froot,fc_leaf_litter,fc_froot_to_litter,fc_wood_to_litter,fn_leaf_to_litter,fn_wood_to_litter,n_leaf_peak,n_wood,n_croot,n_froot,fn_grow_leaf,fn_grow_wood,fn_grow_froot,fn_plantuptake,fn_grossmin,fn_netmin ,ptrait_lai,ptrait_lai_peak,fw_transp 
2003,5,AMB,574,40,211,116,941,6350,1659,225,106,211.2,100,8,3.24,1.75,7.02,14.34,3.47,1.7,7.02,1.76,1.92,8.36,          NA,          NA,    2.122877,5.19,          NA
2004,1,ELE,475,34,220,224,954,7151,1575,207,289,220.2,298,22,3.64,4.45,6.08,24.22,5.26,4.23,6.08,0.95,3.58,8.02,          NA,          NA,    1.847863,4.67,     462.449
2004,2,ELE,640,40,223,116,1019,7418,1585,214,192,222.6,168,73,3.82,2.66,6.54,23.94,5.45,2.99,6.54,1.53,1.86,6.79,          NA,          NA,    1.969342,4.91,     520.082
2004,3,AMB,465,33,210,83,791,7294,1655,217,93,210.2,86,111,4.25,1.16,8.09,20.9,5.21,1.27,8.09,1.19,1.11,5.97,          NA,          NA,    1.755452,4.56,     628.860
2004,4,AMB,581,40,219,41,880,7141,1549,210,62,218.9,79,65,4.43,1.05,7.38,27.09,6.25,0.88,7.38,1.34,0.66,5.26,          NA,          NA,    2.073342,5.52,     531.168
2004,5,AMB,414,31,204,163,812,6687,1690,192,194,203.9,184,60,3.87,2.83,5.91,15.21,3.54,2.92,5.91,0.93,2.62,6.28,          NA,          NA,    1.712877,4.5,          NA
2005,1,ELE,382,28,249,228,887,7503,1603,263,213,249.3,196,5,3.54,2.4,6.83,24.95,5.31,2.39,6.83,0.79,2.5,8.28,          NA,          NA,    2.211726,5.69,          NA
2005,2,ELE,488,33,264,84,869,8036,1617,265,114,264.3,115,7,4.22,1.99,7.4,24.97,5.52,1.95,7.4,1.09,1.52,7.9,          NA,          NA,    2.885507,7.35,          NA
2005,3,AMB,415,28,240,19,702,7701,1682,258,27,240.2,31,9,4.28,0.6,8.44,21.64,5.26,0.51,8.44,0.79,0.37,6.37,          NA,          NA,    2.231288,5.46,          NA
2005,4,AMB,595,38,235,18,887,7777,1587,217,15,234.8,16,4,4.09,0.3,6.78,28.53,6.34,0.28,6.78,1.53,0.33,6.29,          NA,          NA,    2.519096,6.47,          NA
2005,5,AMB,334,24,216,95,669,7006,1714,201,104,216.3,111,23,3.54,1.81,5.97,15.79,3.58,1.63,5.97,0.62,1.55,6.69,          NA,          NA,    2.011233,5.22,          NA
2006,1,ELE,299,20,220,129,668,7715,1623,268,140,219.7,102,28,2.45,1.37,5.82,25.54,5.35,1.37,5.82,0.63,1.52,5.28,          NA,          NA,    2.426329,5.89,          NA
2006,2,ELE,368,23,238,102,731,8453,1640,275,86,238.4,46,64,2.69,0.84,7.06,25.69,5.56,1.39,7.06,0.77,1.53,6.78,          NA,          NA,    2.642822,6.32,          NA
2006,3,AMB,393,22,221,25,661,8125,1705,251,22,221,22,25,2.97,0.36,7.5,22.48,5.31,0.36,7.5,0.89,0.41,5.24,          NA,          NA,    2.241726,5.47,          NA
2006,4,AMB,406,29,195,24,653,8080,1616,212,13,195.3,23,22,2.7,0.34,6.06,29.45,6.41,0.27,6.06,0.99,0.35,5.31,          NA,          NA,    2.381616,5.65,          NA
2006,5,AMB,260,19,205,91,575,7308,1733,230,77,204.5,43,21,2.5,0.73,5.86,16.26,3.61,1.22,5.86,0.51,1.36,5.9,          NA,          NA,    2.270493,5.69,          NA
2007,1,ELE,310,22,222,98,651,8045,1631,256,130,221.7,94,74,2.45,1.26,6.1,26.15,5.4,1.23,6.1,0.65,1.25,5.23,         688,         -31,    2.160137,5.32,     363.644
2007,2,ELE,381,24,222,119,746,8579,1654,260,118,222.2,150,135,2.75,1.91,6.26,26.45,5.61,1.63,6.26,0.81,1.51,4.81,         819,         -46,    2.245671,5.38,     398.407
2007,3,AMB,357,23,207,51,637,8474,1727,199,11,206.9,51,10,2.91,0.69,6.64,23.24,5.36,0.2,6.64,0.8,0.69,4.21,         726,          99,    2.232137,5.3,     498.951
2007,4,AMB,427,29,204,15,675,8442,1645,257,15,204.1,18,14,2.88,0.29,6.69,30.35,6.47,0.25,6.69,0.96,0.24,5.14,         784,         127,    2.291315,5.53,     511.007
2007,5,AMB,267,18,211,122,618,7474,1751,265,149,210.8,142,22,2.68,2.17,6.56,16.82,3.65,2.34,6.56,0.6,1.99,6.39,         676,         -74,    2.208685,5.39,          NA
2008,1,ELE,288,17,199,80,583,8465,1648,198,100,198.7,48,7,2.37,0.71,5.06,26.72,5.43,0.92,5.06,0.6,0.89,3.5,          NA,          NA,    1.488575,3.9,     502.722
2008,2,ELE,320,16,207,48,591,8853,1671,223,72,207.1,76,15,2.92,1.15,5.6,27.02,5.64,1.08,5.6,0.6,0.75,4.04,          NA,          NA,    1.578384,4.24,     512.383
2008,3,AMB,277,17,192,70,557,8754,1745,186,44,192.4,75,4,2.99,0.94,5.52,23.78,5.39,0.55,5.52,0.58,0.88,3.85,          NA,          NA,    1.516027,4.13,     610.642
2008,4,AMB,336,25,200,14,575,8602,1658,198,7,199.8,17,50,3.06,0.31,5.92,31,6.52,0.14,5.92,0.7,0.27,3.68,          NA,          NA,    1.630110,4.39,     602.867
2008,5,AMB,180,14,190,65,449,7667,1766,180,95,190.2,91,6,2.56,1.49,4.8,17.14,3.68,1.56,4.8,0.34,1.07,2.93,          NA,          NA,    1.427151,3.94,          NA
