date	time	Label	Exp	Lin	Vcham	Offset	Area	Vtotal	Tcham	H2O	Pres	IVCO2	dCdry.dt	Round	coef_V	coef_S	flux_default	flux_corrected
18/12/2017	9:45:14	207	1.53	1.43	835.2	3	83.7	1105.3	26.25	16.669	99.38	392.75	0.296	Round1	1.132609787	0.250060612	1.534473216	6.95015248
18/12/2017	9:47:23	207	1.31	1.31	835.2	3	83.7	1105.3	26.32	16.642	99.38	392.24	0.253	Round1	1.132609787	0.250060612	1.311289309	5.939276455
18/12/2017	9:49:34	207	1.43	1.43	835.2	3	83.7	1105.3	26.32	16.458	99.38	391.63	0.275	Round1	1.132609787	0.250060612	1.425581163	6.456943235
18/12/2017	9:59:02	214	1.62	1.57	835.2	3	83.7	1105.3	26.86	16.47	99.31	391.53	0.313	Round1	1.118511897	0.250696463	1.618489455	7.221081976
18/12/2017	10:01:11	214	1.57	1.55	835.2	3	83.7	1105.3	26.88	16.08	99.33	390.52	0.304	Round1	1.118511897	0.250696463	1.572786598	7.017173278
18/12/2017	10:03:20	214	1.6	1.56	835.2	3	83.7	1105.3	27.04	16.412	99.33	391.2	0.309	Round1	1.118511897	0.250696463	1.597263582	7.126380237
18/12/2017	10:15:24	202	0.55	0.55	835.2	3	83.7	1105.3	28.56	17.054	99.33	389.25	0.108	Round1	1.082168402	0.108754297	0.55509181	5.523485821
18/12/2017	10:17:43	202	0.55	0.55	835.2	3	83.7	1105.3	28.5	16.883	99.31	391.44	0.107	Round1	1.082168402	0.108754297	0.550046379	5.473280849
18/12/2017	10:20:04	202	0.56	0.56	835.2	3	83.7	1105.3	28.16	16.574	99.33	391.54	0.109	Round1	1.082168402	0.108754297	0.561249217	5.584755592
18/12/2017	11:32:07	103	0.92	0.54	835.2	3	83.7	1105.3	29.63	15.924	99.19	464.56	0.18	Round1	1.088783141	0.296305551	0.921642567	NA
18/12/2017	11:34:26	103	0.65	0.6	835.2	3	83.7	1105.3	30	16.491	99.21	394.47	0.128	Round1	1.088783141	0.296305551	0.654345107	2.404409633
18/12/2017	11:36:44	103	0.61	0.61	835.2	3	83.7	1105.3	29.78	16.243	99.2	400.53	0.118	Round1	1.088783141	0.296305551	0.603753838	2.21851058
18/12/2017	11:53:09	111	3.08	3.08	835.2	3	83.7	1105.3	30.37	16.394	99.2	460.98	0.602	Round1	1.090931919	0.295363402	3.073708608	11.3528176
18/12/2017	11:55:34	111	3.13	3.13	835.2	3	83.7	1105.3	30.75	16.432	99.18	409.95	0.613	Round1	1.090931919	0.295363402	3.125208114	11.54303229
18/12/2017	11:57:58	111	3.06	3.06	835.2	3	83.7	1105.3	30.27	16.4	99.18	442.39	0.599	Round1	1.090931919	0.295363402	3.058763623	11.29761794
18/12/2017	12:08:35	119	6.57	6.52	835.2	3	83.7	1105.3	29.52	16.65	99.15	435.46	1.284	Round1	1.242602657	1.036386336	6.569270754	7.876399959
18/12/2017	12:10:57	119	6.42	6.42	835.2	3	83.7	1105.3	30.28	17.149	99.17	403.7	1.259	Round1	1.242602657	1.036386336	6.423265659	7.701343309
18/12/2017	12:13:21	119	6.72	6.46	835.2	3	83.7	1105.3	30.73	16.999	99.17	453.93	1.319	Round1	1.242602657	1.036386336	6.720438712	8.057646758
