date	time	Label	Exp	Lin	Vcham	Offset	Area	Vtotal	Tcham	H2O	Pres	IVCO2	dCdry.dt	Round	coef_V	coef_S	flux_default	flux_corrected
15/01/2018	8:51:57	202	0.18	0.13	835.2	3	83.7	1105.3	20.71	7.994	99.57	393	0.034	Round1	1.082168402	0.108754297	0.181510571	1.806135573
15/01/2018	8:54:35	202	0.16	0.12	835.2	3	83.7	1105.3	20.54	7.959	99.58	390.09	0.03	Round1	1.082168402	0.108754297	0.16027084	1.594787917
15/01/2018	8:57:14	202	0.19	0.11	835.2	3	83.7	1105.3	20.34	8.122	99.59	390.84	0.036	Round1	1.082168402	0.108754297	0.19244377	1.914927254
15/01/2018	9:03:31	207	0.36	0.29	835.2	3	83.7	1105.3	20.33	8.1	99.54	394.6	0.067	Round1	1.132609787	0.250060612	0.35799956	1.621502093
15/01/2018	9:06:09	207	0.53	0.41	835.2	3	83.7	1105.3	20.57	8.05	99.58	390.34	0.099	Round1	1.132609787	0.250060612	0.528791241	2.395075859
15/01/2018	9:08:47	207	0.33	0.26	835.2	3	83.7	1105.3	20.56	8.162	99.58	396.35	0.062	Round1	1.132609787	0.250060612	0.331136074	1.499828203
15/01/2018	9:13:13	214	0.34	0.29	835.2	3	83.7	1105.3	20.69	8.016	99.57	399.42	0.065	Round1	1.118511897	0.250696463	0.347021426	1.548277103
15/01/2018	9:15:51	214	0.34	0.33	835.2	3	83.7	1105.3	20.39	7.941	99.57	389.87	0.064	Round1	1.118511897	0.250696463	0.342057697	1.526130837
15/01/2018	9:18:29	214	0.32	0.32	835.2	3	83.7	1105.3	20.51	8.02	99.57	387.96	0.059	Round1	1.118511897	0.250696463	0.315180481	1.406214966
15/01/2018	9:27:46	103	0.25	0.12	835.2	3	83.7	1105.3	21.13	7.946	99.51	390.56	0.047	Round1	1.088783141	0.296305551	0.250414702	0.920155917
15/01/2018	9:30:24	103	-1.15	-0.1	835.2	3	83.7	1105.3	21.21	8.148	99.53	733.97	-0.215	Round1	1.088783141	0.296305551	-1.145199678	NA
15/01/2018	9:33:02	103	0.21	0.21	835.2	3	83.7	1105.3	21.37	8.263	99.54	419.65	0.039	Round1	1.088783141	0.296305551	0.207617827	0.762897588
15/01/2018	9:37:58	111	0.7	0.59	835.2	3	83.7	1105.3	21.75	8.327	99.52	418.03	0.132	Round1	1.090931919	0.295363402	0.701614715	2.591431039
15/01/2018	9:40:38	111	0.62	0.62	835.2	3	83.7	1105.3	22.08	8.423	99.52	393.27	0.116	Round1	1.090931919	0.295363402	0.615821701	2.27455245
15/01/2018	9:43:18	111	0.6	0.6	835.2	3	83.7	1105.3	22.18	8.452	99.55	476.48	0.112	Round1	1.090931919	0.295363402	0.594546927	2.195973555
15/01/2018	9:47:35	119	2.45	1.16	835.2	3	83.7	1105.3	21.9	8.08	99.53	391.29	0.46	Round1	1.242602657	1.036386336	2.444632257	NA
15/01/2018	9:50:13	119	1.83	0.61	835.2	3	83.7	1105.3	22	8.195	99.54	420.27	0.344	Round1	1.242602657	1.036386336	1.827512091	2.191143689
15/01/2018	9:52:51	119	1.37	1.29	835.2	3	83.7	1105.3	22.02	8.275	99.54	394.56	0.258	Round1	1.242602657	1.036386336	1.370430648	1.643113871
15/01/2018	10:03:25	610	0.28	0.23	835.2	3	83.7	1105.3	21.9	8.122	99.52	386.87	0.053	Round1	1.268541474	1.042378087	0.281623927	0.342727496
15/01/2018	10:06:04	610	0.35	0.28	835.2	3	83.7	1105.3	22.04	8.147	99.55	395	0.066	Round1	1.268541474	1.042378087	0.350631996	0.426708154
15/01/2018	10:08:42	610	0.28	0.27	835.2	3	83.7	1105.3	22.08	8.47	99.57	389.45	0.053	Round1	1.268541474	1.042378087	0.28149483	0.342570389
15/01/2018	10:13:25	612	0.42	0.37	835.2	3	83.7	1105.3	22.24	8.561	99.54	408.46	0.078	Round1	1.147001855	0.249897589	0.413888275	1.899700676
15/01/2018	10:16:03	612	0.42	0.39	835.2	3	83.7	1105.3	21.98	8.388	99.56	398.33	0.078	Round1	1.147001855	0.249897589	0.414408429	1.902088128
15/01/2018	10:18:41	612	0.53	0.41	835.2	3	83.7	1105.3	21.9	8.428	99.56	403.98	0.099	Round1	1.147001855	0.249897589	0.526101321	2.414745951
15/01/2018	10:23:19	614	0.55	0.54	835.2	3	83.7	1105.3	22.46	8.357	99.55	398.47	0.103	Round1	1.092296222	0.295424135	0.546305273	2.019899917
15/01/2018	10:25:57	614	0.54	0.54	835.2	3	83.7	1105.3	22.69	8.258	99.57	391.9	0.102	Round1	1.092296222	0.295424135	0.540743322	1.999335255
15/01/2018	10:28:37	614	0.58	0.54	835.2	3	83.7	1105.3	22.82	8.263	99.57	389.58	0.11	Round1	1.092296222	0.295424135	0.582895484	2.155187945
15/01/2018	10:40:24	414	0.24	0.2	835.2	3	83.7	1105.3	25.09	8.29	99.53	473.38	0.045	Round1	1.127066239	0.25101495	0.236540763	1.062076615
15/01/2018	10:43:04	414	0.41	0.29	835.2	3	83.7	1105.3	25.51	8.211	99.56	425.27	0.079	Round1	1.127066239	0.25101495	0.414834512	1.862622019
15/01/2018	10:45:42	414	0.29	0.29	835.2	3	83.7	1105.3	25.69	8.24	99.56	391.89	0.055	Round1	1.127066239	0.25101495	0.28862644	1.295943193
15/01/2018	10:50:57	413	0.79	0.42	835.2	3	83.7	1105.3	25.42	8.315	99.55	471.07	0.15	Round1	1.137966276	0.296951056	0.787736146	3.018737095
15/01/2018	10:53:36	413	0.41	0.41	835.2	3	83.7	1105.3	25.18	8.465	99.56	541.98	0.079	Round1	1.137966276	0.296951056	0.415187026	1.591066354
15/01/2018	10:56:16	413	0.75	0.62	835.2	3	83.7	1105.3	25.04	8.439	99.57	423.8	0.143	Round1	1.137966276	0.296951056	0.751989161	2.88174865
