"Ring","AlphaSx","EaSx","kMSx","kMO2"
1,44008014788.8531,75.3516664611844,1.78332759965613e-09,0.00371344668595181
2,19508707181.3801,72.8385092818554,1.71249347739682e-09,0.0700007082135982
3,37467936772.2723,74.942918983464,2.37690335204404e-09,0.000807757743240543
4,46709613332.2094,71.3067035400209,1.01244900576474e-08,0.463068792179874
5,94579283146.2228,77.0331814158309,1.58001403115135e-09,0.000100519942457496
6,199910218424.37,78.7263762021978,3.59279170176493e-08,0.000413792855169217
