"AlphaSx","EaSx","kMSx","kMO2","ring_collar"
7913496222.37277,69.7713863133932,1.30569252406396e-08,0.0696443973124025,"1_0"
7963551039.8572,71.3672353912841,1.31963538906268e-08,0.00468962776944508,"1_1"
8199661776.0097,69.2306884781754,1.30575109496775e-08,0.087692033852148,"1_2"
19014352374.2851,73.0355277576723,1.30556866128919e-08,0.000732365852294129,"1_3"
7974640263.16129,70.6291221781158,1.79784230961454e-08,0.000727226697162034,"1_4"
7908605885.30556,70.964445848051,2.381405778469e-08,0.000764080723869355,"1_5"
7912565742.9127,71.1188396292895,2.41996830120511e-08,0.000747491852573112,"1_6"
8511937868.14079,71.1804229259008,1.31692179115305e-08,0.000938055715425479,"1_7"
8057385662.12514,71.6928845193858,1.3079218253492e-08,0.00132889604808524,"2_0"
8766944009.36585,69.9347419833727,1.30645754428242e-08,0.0233293105556796,"2_1"
7974057636.63866,70.8176599358911,1.30677606823848e-08,0.0334889206175745,"2_2"
8028485883.0415,70.5396971480279,1.85352326370496e-08,0.038716973102428,"2_3"
8033819126.71598,71.3562063551189,1.30646562815192e-08,0.0161188657825324,"2_4"
8060514234.78471,70.1259275472719,1.30556476697626e-08,0.0651069278150688,"2_5"
7947462787.53526,71.5052530017782,1.30652240862177e-08,0.00798651589991462,"2_6"
7948103217.82073,68.8695268301169,1.30987797592192e-08,0.0926295438013035,"2_7"
8204919935.93229,70.8593282290049,1.57495311160235e-08,0.0099162735124976,"3_0"
7921520882.87411,71.1851215666754,4.60554240128643e-08,0.000754337495531932,"3_1"
7910020762.91539,71.5428219776948,2.13108281003848e-08,0.00339499725643141,"3_2"
8002522544.80505,70.1758471102065,2.44080063673743e-08,0.0324809226191356,"3_3"
8258445338.5374,70.1942305679542,1.3072308789107e-08,0.0323420397935154,"3_4"
7918772943.96809,71.2537048211393,2.18090155016098e-08,0.0007572270090741,"3_5"
7961336691.20739,70.4587913362504,2.38766350465263e-08,0.0109257624872619,"3_6"
7953125703.955,70.8994270129115,2.00330610036485e-08,0.000764197397795178,"3_7"
7968004637.71846,70.1897180979321,1.06254276622731e-07,0.010586188319595,"4_0"
7920735258.52945,69.087797100628,1.3064016008755e-08,0.0593847040388629,"4_1"
7996536583.07213,69.7424735076975,1.31353839810216e-08,0.0379823232937836,"4_2"
7921291728.61923,70.6179399079559,5.3425586856865e-08,0.000745152991314224,"4_3"
8293576235.54874,70.9744987454988,1.9600249215203e-08,0.000845431298855002,"4_4"
8062107991.24971,70.5078913539476,1.92580660258967e-08,0.0077335860152095,"4_5"
7922864740.13821,70.2581574167432,1.75011458293823e-08,0.00079324334459354,"4_6"
8188021416.47041,70.8949535102173,1.30625665680241e-08,0.00103744322286061,"4_7"
8134621516.24177,71.3808312630094,5.48865022436306e-08,0.000767846755437806,"5_0"
7988212217.32624,70.7688423950986,3.19928448863822e-08,0.00155322995086935,"5_1"
8696076920.37507,70.7378475111851,1.35180770268675e-08,0.00088429515008557,"5_2"
7931637976.95979,69.8936710193773,1.30831317012166e-08,0.0457523355329514,"5_3"
7944624282.11333,71.2050947602932,1.31139883963705e-08,0.000725763795248259,"5_4"
7970870673.61309,70.3274326337286,5.97671487385748e-08,0.000725636536087736,"5_5"
7969459967.04377,70.7952493161014,1.37078430380682e-08,0.000730337505642299,"5_6"
7917286780.72677,70.7610658892059,1.30693998147044e-08,0.00634402265314176,"5_7"
8104590877.5793,70.6767914326193,1.99878655822436e-07,0.000796674815349577,"6_0"
7915039212.26344,70.4444270880193,1.69514071680751e-08,0.000742152729632129,"6_1"
7980306051.21212,69.9638486787538,7.37944449968317e-08,0.00840442446298247,"6_2"
7917830142.78925,70.717840746832,3.8639670697515e-07,0.000732926497710895,"6_3"
25205504357.0317,73.3942974589224,1.65260170202314e-07,0.000723003531307694,"6_4"
8112580005.89114,70.5425879892953,5.61525628172975e-08,0.00083799422912018,"6_5"
7924960545.48366,70.9100404609317,6.76728233724788e-08,0.000798650621720225,"6_6"
7987412152.03018,70.9867575768836,4.02239080396688e-08,0.000816485012284234,"6_7"
