Species,Life form,Longitude,Latitude,MAT,MAP,K value_yr-1_,Ln(k),Size,C (mg/g),N (mg/g),C: N,P (mg/g),Lignin (%),Ca (mg/g),Reference
Sasa kurilensis ,Shrub,142.32,44.38,4.1,1128,0.34,-1.08,fine root,428,11.9,36,,30.8,,Tripathi et al. 2006
Salix viminalis,Deciduous broadleaf,26.92,58.7,12.6,733,0.325,-1.12,fine root,,15.1,,0.31,,, lle PÙttsepp et al. 2007
Salix dasyclados,Deciduous broadleaf,26.92,58.7,12.6,733,0.162,-1.82,fine root,,16.6,,0.32,,, lle PÙttsepp et al. 2007
Qucrcus leucotnchophora,Deciduous broadleaf,79.43,29.27,13.2,1963,0.298,-1.21,coarse root,,6,,,,,Usman et al. 2000
Pinus roxburghii ,Conifer,79.43,29.27,13.2,1963,0.238,-1.44,coarse root,,4.8,,,,,Usman et al. 2000
Qucrcus leucotnchophora,Deciduous broadleaf,79.43,29.27,13.2,1963,0.423,-0.86,fine root,,7.2,,,,,Usman et al. 2000
Qucrcus leucotnchophora,Deciduous broadleaf,79.43,29.27,13.2,1963,0.341,-1.08,fine root,,6.8,,,,,Usman et al. 2000
Pinus roxburghii ,Conifer,79.43,29.27,13.2,1963,0.399,-0.92,fine root,,6.6,,,,,Usman et al. 2000
Pinus roxburghii ,Conifer,79.43,29.27,13.2,1963,0.267,-1.32,fine root,,5.2,,,,,Usman et al. 2000
Erica,Shrub,5.78,52.25,9.3,740,0.03,-3.51,,530,10.7,49.6,0.21,37.1,,Vuuern et al. 1992
Molinia,Graminoid,5.78,52.25,9.3,740,0.29,-1.24,,480,16.3,29.5,0.36,16.7,,Vuuern et al. 1992
Pinus massoniana,Evergreen broadleaf,106.83,22.17,21,1400,0.61,-0.49,fine root,484,6,80.6,0.35,,2,Wang et al. 2010
Castanopsis hystrix,Evergreen broadleaf,106.83,22.17,21,1400,0.71,-0.34,fine root,463,7.8,59.4,0.45,,2.7,Wang et al. 2010
Michelia macclurei,Evergreen broadleaf,106.83,22.17,21,1400,0.95,-0.05,fine root,392,10.2,38.4,0.57,,4.2,Wang et al. 2010
Mytilaria laosensis,Evergreen broadleaf,106.83,22.17,21,1400,0.7,-0.36,fine root,445,6.5,68.4,0.4,,1.6,Wang et al. 2010
native ,Mixed,-119,51,1.2,1000,0.708,-0.35,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.394,-0.93,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.269,-1.31,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.205,-1.58,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.72,-0.33,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.4,-0.92,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.275,-1.29,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.204,-1.59,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.7,-0.36,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.388,-0.95,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.263,-1.34,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.202,-1.6,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.66,-0.42,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.375,-0.98,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.261,-1.34,fine root,,,,,,,Welke et al. 2003
native ,Mixed,-119,51,1.2,1000,0.196,-1.63,fine root,,,,,,,Welke et al. 2003
Aster laurentianus,Graminoid,-98.32,50.18,2.2,470,0.897,-0.11,,447,10.1,44.3,1.2,,,Wrubleski et al. 1997
Aster laurentianus,Graminoid,-98.32,50.18,2.2,470,0.636,-0.45,,447,10.1,44.3,1.2,,,Wrubleski et al. 1997
Aster laurentianus,Graminoid,-98.32,50.18,2.2,470,0.481,-0.73,,447,10.1,44.3,1.2,,,Wrubleski et al. 1997
Atriplex patula,Graminoid,-98.32,50.18,2.2,470,0.838,-0.18,,446,5.6,79.7,0.67,,,Wrubleski et al. 1997
Atriplex patula,Graminoid,-98.32,50.18,2.2,470,0.508,-0.68,,446,5.6,79.7,0.67,,,Wrubleski et al. 1997
Atriplex patula,Graminoid,-98.32,50.18,2.2,470,0.377,-0.98,,446,5.6,79.7,0.67,,,Wrubleski et al. 1997
Chenopodium rubrum,Graminoid,-98.32,50.18,2.2,470,0.666,-0.41,,465,4,116.2,0.32,,,Wrubleski et al. 1997
Chenopodium rubrum,Graminoid,-98.32,50.18,2.2,470,0.447,-0.81,,465,4,116.2,0.32,,,Wrubleski et al. 1997
Chenopodium rubrum,Graminoid,-98.32,50.18,2.2,470,0.343,-1.07,,465,4,116.2,0.32,,,Wrubleski et al. 1997
AbiesæfaxonianaæRehd.etæWild,Conifer,104.08,32.97,2.9,813,0.808,-0.21,fine root,450,6.3,71.5,1.13,,,Wu et al. 2010
AbiesæfaxonianaæRehd.etæWild,Conifer,104.08,32.97,2.9,813,0.848,-0.16,fine root,499,6.1,82.2,1.14,,,Wu et al. 2010
Betula Platyphylla,Deciduous broadleaf,104.08,32.97,2.9,813,0.852,-0.16,fine root,429,10.3,41.8,0.73,,,Wu et al. 2010
Betula Platyphylla,Deciduous broadleaf,104.08,32.97,2.9,813,0.85,-0.16,fine root,400,6.2,64.3,0.6,,,Wu et al. 2010
native ,Mixed,115.42,39.95,4.8,612,0.623,-0.47,fine root,449,7.4,60.7,,30.8,,Xiao et al. 2010
native ,Mixed,115.42,39.95,4.8,612,0.556,-0.59,fine root,435,6.6,65.9,,33.2,,Xiao et al. 2010
native ,Mixed,110.5,31.5,10.6,1514,0.845,-0.17,fine root,449,7,64.1,,32.1,,Xiao et al. 2010
Tsoongiodendron odorum,Evergreen broadleaf,117.43,26.19,19.1,1749,1.01,0.01,fine root,,7.3,,0.56,,,Yang et al. 2004
Tsoongiodendron odorum,Evergreen broadleaf,117.43,26.19,19.1,1749,1.19,0.17,fine root,,5.3,,0.39,,,Yang et al. 2004
Tsoongiodendron odorum,Evergreen broadleaf,117.43,26.19,19.1,1749,1.44,0.36,fine root,,4.6,,0.31,,,Yang et al. 2004
Cunninghamia lanceolata,Conifer,117.43,26.19,19.1,1749,0.79,-0.24,fine root,,13.5,,2.17,,,Yang et al. 2004
Cunninghamia lanceolata,Conifer,117.43,26.19,19.1,1749,0.94,-0.06,fine root,,9.9,,1.98,,,Yang et al. 2004
Cunninghamia lanceolata,Conifer,117.43,26.19,19.1,1749,1.12,0.11,fine root,,8.7,,1.89,,,Yang et al. 2004
Castanopsisækawakamii,Evergreen broadleaf,117.43,26.19,19.1,1749,1.17,0.16,fine root,,,,,,,Yang et al. 2004
Castanopsisækawakamii,Evergreen broadleaf,117.43,26.19,19.1,1749,1.42,0.35,fine root,,,,,,,Yang et al. 2004
Castanopsisækawakamii,Evergreen broadleaf,117.43,26.19,19.1,1749,1.65,0.5,fine root,,,,,,,Yang et al. 2004
Castanopsisækawakamii,Evergreen broadleaf,117.43,26.19,19.1,1749,1.02,0.02,fine root,,,,,,,Yang et al. 2004
Castanopsisækawakamii,Evergreen broadleaf,117.43,26.19,19.1,1749,1.39,0.33,fine root,,,,,,,Yang et al. 2004
Castanopsisækawakamii,Evergreen broadleaf,117.43,26.19,19.1,1749,1.53,0.43,fine root,,,,,,,Yang et al. 2004
Fokienia hodginsii,Conifer,117.43,26.19,19.1,1749,0.58,-0.54,fine root,,,,,,,Yang et al. 2004
Fokienia hodginsii,Conifer,117.43,26.19,19.1,1749,0.69,-0.37,fine root,,,,,,,Yang et al. 2004
Fokienia hodginsii,Conifer,117.43,26.19,19.1,1749,0.84,-0.17,fine root,,,,,,,Yang et al. 2004
Cunninghamia lanceolata,Conifer,117.43,26.19,19.1,1749,0.66,-0.42,fine root,,,,,,,Yang et al. 2004
Cunninghamia lanceolata,Conifer,117.43,26.19,19.1,1749,0.8,-0.22,fine root,,,,,,,Yang et al. 2004
Cunninghamia lanceolata,Conifer,117.43,26.19,19.1,1749,0.95,-0.05,fine root,,,,,,,Yang et al. 2004
Ormosia xylocarpa,Evergreen broadleaf,117.43,26.19,19.1,1749,1.06,0.06,fine root,,,,,,,Yang et al. 2004
Ormosia xylocarpa,Evergreen broadleaf,117.43,26.19,19.1,1749,1.42,0.35,fine root,,,,,,,Yang et al. 2004
Ormosia xylocarpa,Evergreen broadleaf,117.43,26.19,19.1,1749,1.53,0.43,fine root,,,,,,,Yang et al. 2004
