year,Ring,GPP.sum.550,GPP.sum.400,c.response,Trans.sum.550,Trans.sum.400,et.response,Ra,LAI.mean,APAR.sum,volRing.sum,VPD,TAIR,PAR,wue.550,wue.400,wue.response,lue.550,lue.400,lue.response,GPP.pa
2013,R1,1308.461259,1171.714019,1.150185661,265.4661941,295.2354582,-0.100832279,175.7996349,1.428165445,970.600172,347.7311968,0.839474198,17.71893697,2712.777737,4.65109036,3.636030654,1.279166983,1.272106983,1.106001428,1.150185661,1244.45876
2013,R2,1419.139348,1273.23145,1.140377502,293.9250106,329.3613944,-0.107591188,195.8888541,1.462280542,1030.24317,280.0019134,0.839474198,17.71893697,2712.777737,4.61682785,3.612924535,1.277864457,1.317165903,1.155026209,1.140377502,1180.856848
2013,R3,1538.561691,1380.276697,1.139888321,317.053755,355.5470567,-0.108264999,214.0601785,1.570931108,1096.019419,421.9411485,0.839474198,17.71893697,2712.777737,4.597369321,3.596523502,1.278281462,1.329915493,1.166706833,1.139888321,1269.09682
2013,R4,1205.971289,1083.511839,1.142569218,241.8887302,270.7376274,-0.10655666,170.2615172,1.414323587,831.6227119,235.6093909,0.839474198,17.71893697,2712.777737,4.597147589,3.594785185,1.278837915,1.337142645,1.170294652,1.142569218,1118.78038
2013,R5,1995.746181,1792.896438,1.145382019,408.0813869,455.769641,-0.104632362,285.8124477,1.794572489,1413.607909,452.3498748,0.839474198,17.71893697,2712.777737,4.557860762,3.562969345,1.279230978,1.315766648,1.148757904,1.145382019,1872.403237
2013,R6,1572.954895,1420.099844,1.124051039,318.8013205,362.714661,-0.121068557,243.1483467,1.664287633,966.5442234,341.3814591,0.839864473,17.72753269,2705.361884,4.552700519,3.559902085,1.278883635,1.501645659,1.33592302,1.124051039,1282.113189
2014,R1,1888.019361,1703.520155,1.131147493,356.576098,403.2874158,-0.115826371,270.6443756,1.776848601,1240.676358,412.312002,0.730427272,17.66118705,2629.465389,4.870137439,3.806795416,1.279327336,1.399699924,1.237415927,1.131147493,1760.358705
2014,R2,2031.682089,1836.938449,1.122021474,387.3437055,441.371781,-0.122409447,302.5964381,1.850930435,1286.757892,252.8072902,0.730427272,17.66118705,2629.465389,4.865285463,3.805389344,1.278525014,1.464562768,1.305289428,1.122021474,1676.803361
2014,R3,1720.465796,1550.742958,1.125644629,327.7916748,372.1755006,-0.119255098,243.5587911,1.703693853,1116.40868,333.6397445,0.730427272,17.66118705,2629.465389,4.834305971,3.782535116,1.278059773,1.41941323,1.260978104,1.125644629,1405.434955
2014,R4,1733.789933,1568.793179,1.123228421,317.5643613,362.0059541,-0.122764812,264.0299699,1.750256515,1030.391234,225.4370768,0.730427272,17.66118705,2629.465389,4.841861546,3.781467105,1.280418793,1.49225131,1.328537707,1.123228421,1556.552901
2014,R5,2358.797226,2128.926977,1.131641302,449.2393655,507.7741761,-0.11527725,349.7098916,2.062031101,1530.37153,295.0287147,0.730427272,17.66118705,2629.465389,4.775323863,3.733371744,1.279091446,1.401792584,1.238725188,1.131641302,2174.720651
2014,R6,1862.621132,1689.704789,1.110659275,340.5384527,392.5425333,-0.132480117,308.0830061,1.896808576,996.0484699,229.3417272,0.730427272,17.66118705,2629.465389,4.797797827,3.747490438,1.280269531,1.640316408,1.476885347,1.110659275,1468.843204
2015,R1,1408.530683,1272.223303,1.138737721,253.9754428,283.2502621,-0.103353194,190.3512742,1.503105281,984.0377906,NA,0.587116341,17.19417534,2497.384166,5.08873063,4.006887611,1.269995848,1.313377014,1.153362175,1.138737721,1312.132144
2015,R2,1581.40467,1431.101083,1.128971246,288.3187649,324.1013311,-0.11040549,220.2066081,1.5567458,1065.683276,NA,0.587116341,17.19417534,2497.384166,5.077998082,4.001305819,1.269085222,1.373843587,1.216898652,1.128971246,1295.47134
2015,R3,1459.489868,1319.277883,1.12697529,263.3100993,296.6040593,-0.11225052,198.2558427,1.527580414,978.8225572,NA,0.587116341,17.19417534,2497.384166,5.137431037,4.046895945,1.269474458,1.382004804,1.226295569,1.12697529,1199.231076
2015,R4,1315.005633,1190.614141,1.133083696,232.6216277,260.7915598,-0.108017039,186.2323145,1.460208006,847.7690786,NA,0.587116341,17.19417534,2497.384166,5.032714724,3.961839534,1.270297467,1.38094007,1.218744983,1.133083696,1187.026517
2015,R5,2001.105687,1810.530344,1.135845321,360.5424449,403.0841449,-0.105540495,283.9585947,1.794797967,1340.039564,NA,0.587116341,17.19417534,2497.384166,5.01703229,3.950830399,1.269867796,1.34985051,1.188410504,1.135845321,1835.378016
2015,R6,1907.658128,1736.749143,1.108980604,328.7001636,377.1429164,-0.128446673,304.8552865,1.877564255,1038.552906,NA,0.587116341,17.19417534,2497.384166,5.169125965,4.062441595,1.272418531,1.636019253,1.475246048,1.108980604,1530.724567
